,Input_dec,Input_bin,Hamming_weight,Expected_output,Measured_result
0,0,000000,0,0,0
1,1,000001,1,0,0
2,2,000010,1,0,0
3,3,000011,2,0,1
4,4,000100,1,0,0
5,5,000101,2,0,1
6,6,000110,2,0,1
7,7,000111,3,0,1
8,8,001000,1,0,0
9,9,001001,2,0,1
10,10,001010,2,0,1
11,11,001011,3,0,1
12,12,001100,2,0,1
13,13,001101,3,0,1
14,14,001110,3,0,1
15,15,001111,4,1,0
16,16,010000,1,0,0
17,17,010001,2,0,1
18,18,010010,2,0,1
19,19,010011,3,0,1
20,20,010100,2,0,1
21,21,010101,3,0,1
22,22,010110,3,0,1
23,23,010111,4,1,0
24,24,011000,2,0,1
25,25,011001,3,0,1
26,26,011010,3,0,1
27,27,011011,4,1,0
28,28,011100,3,0,1
29,29,011101,4,1,0
30,30,011110,4,1,0
31,31,011111,5,1,0
32,32,100000,1,0,0
33,33,100001,2,0,1
34,34,100010,2,0,1
35,35,100011,3,0,1
36,36,100100,2,0,1
37,37,100101,3,0,1
38,38,100110,3,0,1
39,39,100111,4,1,0
40,40,101000,2,0,1
41,41,101001,3,0,1
42,42,101010,3,0,1
43,43,101011,4,1,0
44,44,101100,3,0,1
45,45,101101,4,1,0
46,46,101110,4,1,0
47,47,101111,5,1,0
48,48,110000,2,0,1
49,49,110001,3,0,1
50,50,110010,3,0,1
51,51,110011,4,1,0
52,52,110100,3,0,1
53,53,110101,4,1,0
54,54,110110,4,1,0
55,55,110111,5,1,0
56,56,111000,3,0,1
57,57,111001,4,1,0
58,58,111010,4,1,0
59,59,111011,5,1,0
60,60,111100,4,1,0
61,61,111101,5,1,0
62,62,111110,5,1,0
63,63,111111,6,1,1
